h,a,y,relative_error
0.75,1.03955e1,0.1133136761884340883136979552561164143327596165577357442386144150303299161985926197902942328639547581292075585109969748588349683874733735794523338451874,1.00163e-16
0.75,1.18109e1,0.1133136761884340996623963689165561345772020091968083252264024791456909918922023778727921969730331788692868560735305631334082782626937704165547679192506,1.00139e-20
0.75,1.30837e1,0.1133136761884340996635309712643918887974802427194431297747786526983098628586488618904462065556608717687909446892922959605218166758649178496390218708975,1.00100e-24
0.75,1.42490e1,0.1133136761884340996635310846803806196807059579411607074388983432073443085583814000938023895538637452108935186114128658386848775223437893556099298313959,1.00231e-28
0.75,1.53304e1,0.1133136761884340996635310846917370716113080701934948200605947907531616592138601419236731706432939468762973356801860881668613571712960446874257621330391,1.00100e-32
0.75,1.63431e1,0.1133136761884340996635310846917382057710749168307434986124533485899301119326416954447081024068001341859459383825334601951781968226153538543207890592456,1.00127e-36
0.75,1.72988e1,0.1133136761884340996635310846917382058845211245671879974226388122949653103139089651622877763443743703481779698556657319237496830078931165195404990422606,1.00065e-40
1,5.20288e0,0.07932762617160080325232045864268834547001294292058087939151655320017366986688805404769552355423779113330645308935815317593322807100401194926312124668254,1.00107e-8
1,6.64258e0,0.07932762696564919117681160101509996611970753406755595099139229564439590889476671912220764956377299149269926333781112801797217714957232882362773992756525,1.00009e-12
1,7.84790e0,0.07932762696572851777218374415348426975312144389483425023306165161834848035258997814947555253209591953677897347343344712853549966496970730331236171069339,1.00031e-16
1,8.90381e0,0.079327626965728525706589568491573579327286742336214735633532424481076926274242765588776592966208280594341748928687397334212391630352120682910264524341,1.00111e-20
1,9.85425e0,0.07932762696572852570738364772732559285781883533571124650779152941388249876989809580688552825531526313749968647199850056740377048554232625679215143008967,1.00163e-24
1,1.07253e1,0.07932762696572852570738372717604410336959208217958670256599776937964233252948339401615864256401192108925400313647983588898382452316267123584507569814196,1.00053e-28
