h,a,T
0.0009765625,1.925929944387236E-34,3.0652112453723087004527417355084877081280140959818765843843254218700262881e-35
0.0009765625,3.0814879110195774E-33,4.9043379925956939207243867768135803330048225535710025350149206749765795331e-34
0.0009765625,4.930380657631324E-32,7.8469407881531102731590188429017285328077160857136040560238730736290758156e-33
0.0009765625,7.888609052210118E-31,1.2555105261044976437054430148642765652492345737141766489638194323624812567e-31
0.0009765625,1.262177448353619E-29,2.0088168417671962299287088237828425043987753179426826383420048340971801162e-30
0.0009765625,2.0194839173657902E-28,3.2141069468275139678859341180525480070380405087082922213036845876847473611e-29
0.0009765625,3.2311742677852644E-27,5.1425711149240223486174945888840768112608648139332675362588143820401539508e-28
0.0009765625,5.169878828456423E-26,8.2281137838784357577879913422145228980173837022932207560417425098352740009e-27
0.0009765625,8.271806125530277E-25,1.3164982054205497212460786147543236636827813923666162321787926630429375947e-25
0.0009765625,1.3234889800848443E-23,2.1063971286728795539937257836069178618924502276640792039679059186914220044e-24
0.0009765625,2.117582368135751E-22,3.3702354058766072863899612537710685790279203140837547509093541140931461793e-23
0.0009765625,3.3881317890172014E-21,5.392376649402571658223938006033709726444651949309006461519588841491384108e-22
0.0009765625,5.421010862427522E-20,8.6278026390441146531583008096539355623030245179339434209006194091728651427e-21
0.0009765625,8.673617379884035E-19,1.3804484222470583445053281295446296896236580275287060052856957892088657673e-19
0.0009765625,1.3877787807814457E-17,2.2087174755952933512085250072714073621571661124849933413351149231327298435e-18
0.0009765625,2.220446049250313E-16,3.5339479609524693619336400116341939272661805326164943329656639779676160651e-17
0.0009765625,3.552713678800501E-15,5.6543167375239509790938240185910140285330515337372335381002911665523877666e-16
0.0009765625,5.684341886080802E-14,9.0469067800383215665501184200396363596267168172047048332789354510404894917e-15
0.0009765625,9.094947017729282E-13,1.4475050848061314506480185496491517339085302084543228994384285028922179357e-13
0.0009765625,1.4551915228366852E-11,2.3160081356898103210366668400135845186911084047792783182233177769082799075e-12
0.0009765625,2.3283064365386963E-10,3.7056130171036965135919679155178737514915880564591001473659694338847051533e-11
0.0009765625,3.725290298461914E-09,5.9289808273659143944272265896469366714167824199811435078004839454339661348e-10
0.0009765625,5.960464477539063E-08,9.4863693237854518408434805490504705764843247449084061247709669827979782785e-9
0.0009765625,9.5367431640625E-07,1.5178190918052139423011986479712487473862337722795533226285070018039017946e-7
0.0009765625,1.52587890625E-05,2.4285105467006012327607695081994727700851660490855315376097109180000722976e-6
0.0009765625,0.000244140625,3.8856167978222204347861974454040092919783936725585971301088700376741630682e-5
0.0009765625,0.00390625,6.2169553790793816176979963461288417556530335824250011724294018699018523438e-4
0.0009765625,0.0625,0.0099342574095846282458997038048283938023231204377593441763918925593140475023
0.0009765625,1,0.12499992410903334717142953927029317062322649061488443135104989928621568072
0.0009765625,1.25,0.1426115488749345619125725937208413363799662423928926314737050600560710602
0.0009765625,1.5,0.15641636525806192129578539764582139880587252763601137140779218997930469788
0.0009765625,1.75,0.16737519692154617184529416885904949827340098264885507972098424946251969542
0.0009765625,2,0.17620803939288624487077496166215510479149141226021021492614452639941941614
0.0009765625,2.25,0.18343735987155187392337419570835919592349578440040244425893939619469982557
0.0009765625,2.5,0.1894403394772408289589575027399224267975944769257108557510239449228884681
0.0009765625,2.75,0.19449116207245061029856932084289184910287526634869568167877934157640636133
